Date,AAPL,MSFT,AMZN,GOOGL,BRK-B,TSLA,NVDA,GOOG,UNH,JPM,AVGO,V,BAC,HD,MA,MRK,ABBV,LLY,UPS,CAT
30/12/2022,130.0722314,240.903387,84.11517533,88.33407975,310.0967591,123.4380353,147.4271429,88.80943636,532.5120658,134.1321351,561.262564,208.0396505,33.21602468,317.664838,347.9934218,111.0620735,161.7245915,367.2702121,174.0556107,240.1984261
29/12/2022,130.0722314,240.903387,84.11517533,88.33407975,310.0967591,123.4380353,147.4271429,88.80943636,532.5120658,134.1321351,561.262564,208.0396505,33.21602468,317.664838,347.9934218,111.0620735,161.7245915,367.2702121,174.0556107,240.1984261
28/12/2022,129.7755651,240.8202082,84.25668862,88.73871867,308.43361,120.814242,145.2071617,89.3219045,529.5889823,133.2002864,555.8012184,207.90165,33.12821439,319.9735388,348.4021156,110.7379568,162.7369396,366.941601,174.3947858,240.1735929
27/12/2022,126.1935924,235.4374322,81.84250144,86.05911177,303.8569279,112.42012,140.5719466,86.42791142,529.9257981,132.6015388,545.7707419,205.3904599,32.81507703,316.6888379,342.5844953,111.1406572,162.4494712,365.5894153,173.3335556,238.7799773
23/12/2022,130.5942231,238.024848,83.21632676,87.9029726,305.696798,107.9443648,141.7864998,88.55725719,533.5772321,131.7771226,554.1477851,206.4861638,32.50234678,320.2050796,346.5270199,112.2276694,163.0334172,366.0252077,176.3411576,242.9712539
22/12/2022,131.912425,239.1029668,85.23381983,89.27442253,305.308296,122.6304375,151.910703,89.99138936,531.2138157,131.0964921,551.3376848,205.9563637,32.44527734,318.6706852,344.1660122,111.8204487,163.1748226,367.1517222,177.2831664,239.946255
21/12/2022,132.432375,239.6269781,83.89335711,88.03056312,303.5179254,124.3423942,154.6752831,88.44964492,530.0215675,131.0041666,555.1036254,205.5240591,32.39389696,317.3123741,342.2854223,111.4502596,163.3114211,366.7554978,176.2270967,238.3308354
20/12/2022,135.1838928,244.743101,86.89825658,90.08124306,307.6723063,136.9930201,165.0032356,90.59241801,527.0608585,132.0386983,560.062399,206.8893783,32.66346273,319.3149469,346.2309649,111.0295855,162.3576198,366.7040338,177.2175655,242.2044852
19/12/2022,132.5456469,242.6250075,85.24179685,89.16202774,302.7271603,136.9929031,161.3916579,89.91901304,522.5369201,131.1719578,543.9954991,205.5196682,32.28109487,315.5536644,343.7354082,109.7404076,160.4453962,360.7238814,174.8514293,235.6814226
16/12/2022,132.6046173,241.1066861,85.08864423,88.66906104,300.0799017,149.159704,162.2493053,89.38197892,524.0062595,129.9205686,550.4217977,205.2771262,32.02646104,317.3057529,342.2721544,109.4598777,161.404499,357.4011822,178.2980532,231.7469166
15/12/2022,134.92284,245.4081591,87.93491159,90.54488786,300.05772,149.6655832,166.3158575,91.19531409,524.4589633,129.4551672,555.1039334,207.1166876,31.60267745,324.3282536,346.667239,109.255065,160.318204,360.3783495,178.3758326,232.2331814
14/12/2022,137.1724951,249.8320581,88.49754005,91.26888361,302.2656087,156.8463936,170.2343208,91.72045398,528.7110116,130.1284919,558.2864806,208.6499444,31.70314472,327.5368718,347.1508371,109.77591,163.0327407,360.8582297,180.0716578,230.6751019
13/12/2022,143.1064037,257.590555,91.64074712,95.26735787,310.0154471,156.4245328,177.3232708,95.53866993,538.8083782,133.7550018,575.1727353,213.3208259,32.17766863,334.1481623,357.6663267,111.4865859,164.8252957,363.1346778,184.5083981,234.8150759
12/12/2022,145.1824945,256.764945,92.58793735,95.8295421,311.8088903,160.0235405,181.1074335,96.13606472,538.6768447,134.0785946,568.9894472,213.3499731,32.6707561,333.1273119,357.2469497,110.9796852,164.5867493,359.5663483,182.3447284,235.7883334
09/12/2022,144.8981433,252.7397205,90.54426381,93.94203615,311.6556096,167.5014736,175.4949413,94.22988957,547.0101842,134.1952539,557.4251361,213.9850415,32.75523081,328.1589224,358.100703,109.0149993,165.3649937,367.4329585,182.544006,233.3138511
08/12/2022,141.8380685,245.7308238,89.18415454,92.89434093,306.1942696,178.1296635,170.840687,93.08188402,538.0772513,132.3142046,543.2588771,208.9142544,32.32799281,320.6847353,349.3770629,108.9290877,162.8806558,361.146844,178.3550528,226.8741912
07/12/2022,143.6066302,248.3444035,90.47815828,94.21584743,306.6817044,173.4603707,171.514472,94.65102355,550.7083434,133.1448479,531.2523052,209.0900139,32.6118449,324.7377723,351.5696039,110.9641244,166.1854407,372.6628713,179.6404242,230.5893775
06/12/2022,141.1188983,244.3116783,88.58146674,95.28512711,306.3963088,172.9370163,160.9402601,95.50551634,541.7644648,131.7425317,518.5920502,208.0429265,32.74385121,320.5788799,348.1080378,109.9212298,165.3926894,371.616567,175.3358448,229.246869
05/12/2022,142.996346,246.2396025,88.35933245,97.3429262,307.4704234,179.8394364,160.1832784,97.59880563,540.4952003,131.5635008,525.7042148,209.6319181,33.03910907,316.9395613,348.2774524,109.0243691,164.3909392,369.1111645,174.6952787,228.25576
02/12/2022,146.8097817,250.4989663,91.13370014,99.51650849,311.7429052,181.4104412,166.7271956,100.0997048,536.2400975,131.7673355,531.8535371,214.1258768,34.51564771,321.3795951,356.2380976,109.9807458,163.8921528,369.4352903,182.0630564,233.3429711
01/12/2022,147.5081366,255.3121763,94.1141274,100.6460873,315.9121428,194.9527233,169.9953153,101.2021195,534.3472881,134.9342802,540.0787376,217.5236961,36.06412006,327.6017077,359.8103934,110.1271979,163.7253808,374.8780571,189.0003163,236.6284202
30/11/2022,147.6130661,255.2097121,95.66318517,101.2901667,317.2363029,193.9101282,171.29469,101.5685309,540.9649197,136.9522085,552.9334013,217.0976252,36.74659906,328.3737064,360.3009507,109.8709702,161.6367449,370.2110373,190.8400951,235.7341856
29/11/2022,148.5465693,254.884857,96.54414961,101.0493138,318.2163282,194.7634908,169.1412117,101.6458604,545.8542449,138.0283039,548.7643208,216.0598288,37.80707841,323.7246334,356.0062545,110.2279039,161.1252568,371.1916406,189.7816594,236.2422111
28/11/2022,141.0310572,240.4842469,92.53437718,95.30571303,315.027354,180.1275555,155.7184637,95.73452971,529.9660528,136.4695836,519.9830962,209.3541272,36.96355124,315.7129443,343.5835462,108.7659986,158.2284849,363.997445,183.5310268,234.9344863
25/11/2022,145.6962228,242.759071,93.99307128,96.55680697,314.0030989,182.5546556,159.6124883,96.59311629,532.0262885,134.3350495,524.618768,211.5964335,36.86105142,320.0317294,344.958732,108.3440468,157.9552867,365.8355563,180.3374039,232.6373925
23/11/2022,148.503138,247.549098,93.48461838,97.45375242,317.214639,182.1653034,162.7989638,97.50291024,540.269532,137.1504338,527.8561491,213.5700922,37.71842255,326.120077,351.0958434,107.4067403,159.1894956,365.8475165,181.6896724,235.6020173
22/11/2022,151.640698,247.5569163,94.24548585,99.0675843,316.6093637,182.8127326,166.2304499,99.29212118,529.6535964,136.2799186,535.952965,211.6623488,37.61317021,322.0912439,348.4808554,106.4919173,159.024939,360.7629238,183.0720648,237.1712583
21/11/2022,149.9646965,245.1498017,93.27568399,97.3712098,315.3453132,169.2945192,160.4429831,97.44536557,524.492684,135.174753,528.4536903,209.9104329,37.42445428,325.474312,344.9350078,107.1657627,159.6660011,362.5043139,183.6123858,237.1644118
