Date,AAPL,MSFT,AMZN,GOOGL,BRK-B,TSLA,NVDA,GOOG,UNH,JPM,AVGO,V,BAC,HD,MA,MRK,ABBV,LLY,UPS,CAT
24/02/2023,146.710007,249.220001,93.5,89.129997,304.019989,196.880005,232.860001,89.349998,484.329987,140.929993,577.75,219.550003,34.209999,296.660004,353.119995,109.889999,152.710007,321.640015,180.149994,236.169998
23/02/2023,149.399994,254.770004,95.82,90.889999,303.070007,202.070007,236.639999,91.07,491.690002,139.669998,583.799988,221.130005,34.259998,299.309998,355.529999,110.589996,152.070007,327.519989,179.940002,237.949997
22/02/2023,148.910004,251.509995,95.790001,91.650002,303.160004,200.860001,207.539993,91.800003,488.890015,138.559998,576.169983,220.020004,34.290001,296.299988,354.970001,109.160004,150.669998,329.070007,176.610001,237.889999
21/02/2023,148.479996,252.669998,94.580002,91.790001,302.720001,197.369995,206.550003,92.050003,491.309998,139.630005,581.539978,220.619995,34.52,295.5,355.959991,109.07,152,327.51001,178.460007,240.710007
17/02/2023,152.550003,258.059998,97.199997,94.349998,308.23999,208.309998,213.880005,94.589996,499.079987,142.240005,595.590027,223.559998,35.349998,317.950012,361.130005,109.519997,151.309998,328.399994,183.210007,247.789993
16/02/2023,153.710007,262.149994,98.150002,95.510002,308.179993,202.039993,220.020004,95.779999,487.350006,141.820007,600.539978,225.830002,35.279999,321.23999,367.549988,106.510002,149.529999,326.070007,185.550003,246.520004
15/02/2023,155.330002,269.320007,101.160004,96.940002,309.630005,214.240005,227.639999,97.099998,491.25,143.800003,607.690002,228.919998,35.560001,320.690002,369.640015,107.68,151.059998,335.01001,186.839996,248.699997
14/02/2023,153.199997,272.170013,99.699997,94.68,310.790009,209.25,229.710007,94.949997,492.829987,143.199997,602.309998,229.389999,35.619999,318.429993,369.959991,108.739998,152.589996,347.559998,186.770004,244.360001
13/02/2023,153.850006,271.320007,99.540001,94.610001,313.73999,194.639999,217.880005,95,495.350006,142.570007,601.119995,228.880005,35.650002,323.529999,370.829987,109.550003,153.729996,350.399994,187.410004,248.149994
10/02/2023,151.009995,263.100006,97.610001,94.57,309.890015,196.889999,212.649994,94.860001,494.25,141.039993,593.25,227.199997,35.580002,316.540009,366.829987,108.57,152.050003,345.119995,185.220001,247.669998
09/02/2023,150.869995,263.619995,98.239998,95.010002,307.209991,207.320007,223.369995,95.459999,485.730011,140.419998,599.409973,229.350006,35.720001,315.549988,370.420013,106.720001,148.699997,341.790009,184.75,246.279999
08/02/2023,151.919998,266.730011,100.050003,99.370003,308.480011,201.289993,222.050003,100,483.220001,142.639999,601.710022,230.199997,36.5,320.790009,370.350006,106.639999,144.610001,340.730011,186.360001,248.869995
07/02/2023,154.649994,267.559998,102.110001,107.639999,312.970001,196.809998,221.729996,108.040001,476.880005,143.649994,614.450012,231.320007,36.77,325.200012,375.059998,105.68,145.139999,339.679993,188.289993,249.660004
06/02/2023,151.729996,256.769989,102.18,102.900002,308.429993,194.759995,210.889999,103.470001,475.23999,141.919998,601.299988,229.440002,36.369999,329.269989,372.970001,104.029999,145.020004,337.660004,188.759995,251.419998
03/02/2023,154.5,258.350006,103.389999,104.779999,308.51001,189.979996,211,105.220001,472.019989,141.089996,597.619995,230.130005,36.43,331.5,373.910004,102.940002,145.199997,339.079987,191.660004,247.759995
02/02/2023,150.820007,264.600006,112.910004,107.739998,311.859985,188.270004,217.089996,108.800003,470.829987,138.940002,605.77002,229.559998,36.130001,339.790009,374.940002,103.459999,144.839996,330.700012,191.289993,244.899994
01/02/2023,145.429993,252.75,105.150002,100.43,310.570007,181.410004,209.429993,101.43,497,139.589996,602.75,230.899994,35.919998,328.089996,374.079987,106.980003,146.600006,342.570007,184.979996,249.539993
31/01/2023,144.289993,247.809998,103.129997,98.839996,311.519989,173.220001,195.369995,99.870003,499.190002,139.960007,585.01001,230.210007,35.48,324.170013,370.600006,107.410004,147.75,344.149994,185.229996,252.289993
30/01/2023,143,242.710007,100.550003,96.940002,307.329987,166.660004,191.619995,97.949997,485.790009,139.130005,581.450012,229.100006,35.299999,314.23999,371.119995,106.089996,145.649994,340.5,176.970001,261.5
27/01/2023,145.929993,248.160004,102.239998,99.370003,309.170013,177.899994,203.649994,100.709999,486.049988,140.320007,590.98999,231.440002,35.450001,316.690002,374.029999,105.379997,146.279999,342.100006,182.089996,264.540009
26/01/2023,143.960007,248,99.220001,97.519997,310.950012,160.270004,198.020004,99.160004,492.480011,139.979996,598.580017,224.710007,35.34,313.809998,377.23999,106.870003,147.399994,348.01001,179.699997,262.119995
25/01/2023,141.860001,240.610001,97.18,95.220001,311.899994,144.429993,193.229996,96.730003,492.5,139.119995,585.679993,224.899994,34.869999,317.26001,382.390015,108.589996,147.789993,349.730011,177.460007,258.440002
24/01/2023,142.529999,242.039993,96.32,97.699997,311.299988,143.889999,192.649994,99.209999,491.600006,138.449997,585.030029,223.889999,34.57,317.690002,380.01001,108.519997,147.690002,346.390015,179.990005,257.609985
23/01/2023,141.110001,242.580002,97.519997,99.790001,310.420013,143.75,191.929993,101.209999,485.809998,137.270004,581.630005,224.179993,34.32,315.480011,378.570007,109.879997,148.550003,342.209991,180.479996,252.699997
20/01/2023,137.869995,240.220001,97.25,98.019997,309.869995,133.419998,178.389999,99.279999,486.720001,135.080002,570.780029,224.309998,33.849998,315,376.279999,109.940002,149.589996,346.070007,178.130005,249.710007
19/01/2023,135.270004,231.929993,93.68,93.050003,305.230011,127.169998,167.649994,93.910004,484.359985,134.75,563.219971,220.410004,33.23,310.880005,367.940002,109.900002,148.710007,351.079987,176.149994,245.75
18/01/2023,135.210007,235.809998,95.459999,91.120003,308.299988,128.779999,173.770004,91.779999,476.23999,136.570007,574.289978,219.460007,33.720001,323.690002,368.920013,108.790001,149.199997,352.01001,176.720001,252.820007
17/01/2023,135.940002,240.350006,96.050003,91.290001,314.859985,131.490005,177.020004,92.160004,485.079987,140.800003,579.23999,223,34.52,327.529999,375,110.449997,152.830002,357.73999,179,256.26001
13/01/2023,134.759995,239.229996,98.120003,92.120003,317.640015,122.400002,168.990005,92.800003,489.570007,143.009995,579,223.059998,35.23,331.209991,375.519989,112.25,153.600006,361.619995,182.149994,258.459991
12/01/2023,133.410004,238.509995,95.269997,91.129997,318.929993,123.559998,165.110001,91.910004,495.670013,139.490005,581.940002,223.619995,34.470001,329.869995,379.809998,111.769997,152.220001,359.119995,182.949997,255.070007
11/01/2023,133.490005,235.770004,95.089996,91.519997,320.369995,123.220001,160.009995,92.260002,493.399994,139.630005,578.140015,222.100006,34.380001,329,377.859985,111.07,157.169998,360.410004,182.229996,250.729996
10/01/2023,130.729996,228.850006,89.870003,88.419998,316.350006,118.849998,159.089996,89.239998,486,138.600006,574.929993,221.089996,34.119999,320.630005,371.01001,110.809998,159.639999,352.75,178.770004,250.509995
09/01/2023,130.149994,227.119995,87.360001,88.019997,315.529999,119.769997,156.279999,88.800003,490.059998,137.369995,576.890015,218.600006,33.889999,317.809998,370.970001,110.379997,161.660004,349.829987,181.690002,246.619995
06/01/2023,129.619995,224.929993,86.080002,87.339996,318.690002,113.059998,148.589996,88.160004,490,137.940002,588.429993,217.75,34.41,317.529999,367.670013,114.839996,166.550003,362.940002,178.949997,248.860001
05/01/2023,125.019997,222.309998,83.120003,86.199997,312.899994,110.339996,142.649994,86.769997,489.959991,135.350006,555.02002,211.110001,34.07,315.470001,351.769989,113.639999,163.490005,358.920013,173.839996,240.279999
04/01/2023,126.360001,229.100006,85.139999,88.080002,314.549988,113.639999,147.490005,88.709999,504.5,136.380005,560.23999,212.610001,34.139999,319.730011,355.149994,112.080002,163.690002,363.100006,177.110001,241.360001
03/01/2023,125.07,239.580002,85.82,89.120003,309.910004,108.099998,143.149994,89.699997,518.640015,135.119995,553.47998,207.389999,33.509998,315.910004,346.799988,111.139999,162.380005,364.98999,175.279999,238.880005
30/12/2022,129.929993,239.820007,84,88.230003,308.899994,123.18,146.139999,88.730003,530.179993,134.100006,559.130005,207.759995,33.119999,315.859985,347.730011,110.949997,161.610001,365.839996,173.839996,239.559998
29/12/2022,129.610001,241.009995,84.18,88.449997,309.059998,121.82,146.029999,88.949997,529.880005,133.220001,557.809998,208.059998,33.139999,320.410004,348.209991,110.82,162.559998,367.019989,175.75,240.199997
28/12/2022,126.040001,234.529999,81.82,86.019997,303.429993,112.709999,140.360001,86.459999,528.450012,132.460007,544.890015,204.990005,32.77,315.730011,341.950012,111.080002,162.229996,365.220001,173.610001,239.380005
27/12/2022,130.029999,236.960007,83.040001,87.389999,305.549988,109.099998,141.210007,87.93,531.98999,131.740005,553.539978,206.289993,32.529999,319.549988,346.160004,112.120003,162.990005,364.880005,176.929993,243.139999
23/12/2022,131.860001,238.729996,85.25,89.230003,306.48999,123.150002,152.059998,89.809998,531.309998,131.279999,552.429993,205.830002,32.470001,318.730011,343.600006,111.860001,163.100006,367.899994,177.009995,239.869995
22/12/2022,132.229996,238.190002,83.790001,87.760002,302.690002,125.349998,153.389999,88.260002,527.090027,130.660004,553.090027,205.059998,32.389999,316.119995,341.519989,111.239998,163.270004,365.309998,175.610001,237.539993
21/12/2022,135.449997,244.429993,86.769997,89.580002,307.820007,137.570007,165.009995,90.25,527.539978,132.160004,561.22998,206.809998,32.68,319.359985,345.690002,111.110001,162.210007,368.01001,176.679993,241.729996
20/12/2022,132.300003,241.800003,85.190002,89.019997,302,137.800003,160.850006,89.629997,520.210022,130.690002,544.02002,205.360001,32.189999,314.839996,342.950012,109.709999,160.580002,359.640015,173.630005,235.139999
19/12/2022,132.369995,240.449997,84.919998,88.440002,300.029999,149.869995,162.539993,89.150002,523.599976,130.059998,549.630005,204.820007,32.060001,317.329987,341.26001,109.440002,161.490005,357.779999,178.429993,232.289993
16/12/2022,134.509995,244.690002,87.860001,90.260002,300,150.229996,165.710007,90.860001,523.700012,129.289993,555.909973,206.889999,31.700001,323.339996,345.839996,109.199997,160.479996,359.869995,178.199997,232.720001
15/12/2022,136.5,249.009995,88.449997,90.860001,301.910004,157.669998,169.520004,91.199997,527.679993,130.100006,558,207.910004,31.77,327.600006,346.25,109.629997,163.100006,360.01001,181.210007,230.660004
14/12/2022,143.210007,257.220001,91.580002,95.07,309.290009,156.800003,176.740005,95.309998,538.359985,133.410004,574.440002,213.320007,32.279999,333.429993,357.51001,111.550003,164.860001,363.5,184.309998,234.479996
13/12/2022,145.470001,256.920013,92.489998,95.629997,312.329987,160.949997,180.720001,95.849998,538.219971,134.080002,571.039978,213.039993,32.75,332.890015,357.149994,110.910004,164.789993,358.660004,183.850006,235.490005
12/12/2022,144.490005,252.509995,90.550003,93.309998,311.450012,167.820007,175.350006,93.559998,545.859985,134.210007,556.630005,214.589996,32.73,327.980011,358.170013,108.970001,165.320007,367.25,182.529999,233.059998
09/12/2022,142.160004,245.419998,89.089996,92.830002,306.390015,179.050003,170.009995,93.07,539.200012,132.160004,544.719971,208.699997,32.380001,320.480011,348.829987,108.779999,163.059998,360.98999,177.639999,227.289993
