Date,AEE,AEP,AES,BA,COP,CVX,DD,FICO,GD,GE,J,JNJ,LMT,MRO,OXY,PODD,PXD,TDY,WFC,XOM
24/02/2023,83.731987,89.615402,25.32,198.149994,105.25,162.410004,72.919998,665.940002,231.949997,83.550003,120.849998,155.970001,480.399994,25.59,58.98,294.350006,196.570007,429.640015,46.619999,110.75
23/02/2023,84.31752,89.892876,25.389999,208.130005,105.43,161.929993,72.839996,671.669983,231.369995,82.940002,119.980003,157.729996,479.079987,25.48,59.220001,297.579987,205.059998,431.179993,46.25,110.739998
22/02/2023,84.853439,90.001892,25.389999,205.759995,104.080002,160.350006,72.910004,663.47998,233.649994,83.190002,119.870003,157.779999,479.529999,25.110001,58.419998,287.769989,205.270004,428.940002,46.009998,109.730003
21/02/2023,85.389359,90.031616,25.57,205.520004,105.309998,161,72.959999,665,233.520004,82.260002,119,158,479.190002,25.42,59.82,292.179993,205.940002,428.910004,46.240002,111.169998
17/02/2023,86.600136,91.577568,26.23,211.660004,104.120003,162.850006,75.080002,682.190002,235.259995,83.040001,121.889999,160.389999,475.630005,25.860001,60.73,296,208.960007,438.950012,47.490002,111.279999
16/02/2023,85.190865,89.882965,26.370001,212.210007,108.360001,166.570007,75.470001,687.799988,231.300003,84.050003,122.550003,158.240005,471.25,26.780001,62.5,298.910004,216.369995,438.579987,47.220001,115.730003
15/02/2023,85.180946,90.100983,26.690001,217.440002,111.650002,169.009995,76.339996,698.940002,232.470001,84.769997,122.779999,159.369995,480.51001,26.07,62.900002,297.73999,220.899994,446.440002,47.970001,116.07
14/02/2023,84.555702,89.664955,26.290001,218.449997,113.550003,172.320007,76.459999,698.059998,232.070007,83.540001,122.519997,162.039993,481.579987,27.16,66.339996,293.200012,233.720001,441.450012,48.5,116.419998
13/02/2023,85.190865,90.269455,26.35,215.649994,112.309998,171.009995,76.370003,694.23999,232.880005,82.68,122.690002,162.75,481.970001,27.33,64.760002,298.609985,232.449997,444.5,48.130001,117.800003
10/02/2023,84.853439,89.734322,26.110001,212.889999,115.059998,171.970001,75.809998,679.72998,233.220001,81.290001,121.699997,162.149994,480.829987,27.75,65.629997,294.829987,231.389999,438.359985,47.509998,119.169998
09/02/2023,83.086899,87.682968,25.58,211.990005,109.93,168.440002,75.760002,677.73999,228.660004,80.790001,121.849998,161.399994,470.089996,26.129999,63.200001,286.540009,221.320007,435.98999,47.57,114.349998
08/02/2023,84.079338,88.743324,26.16,213.5,110.790001,170,76.900002,676.849976,229.119995,81.959999,121.400002,163.610001,469.649994,26.6,63.93,288.070007,223.880005,433.799988,48.25,113.919998
07/02/2023,85.339729,90.608917,26.42,214.759995,112.019997,174.089996,77.790001,677.530029,231.960007,82.110001,122.57,163.399994,468.329987,26.870001,64.599998,289.359985,226.070007,437.390015,48.130001,114.919998
06/02/2023,85.25042,90.824936,26.209999,206.809998,107.489998,169.639999,72.360001,673.450012,232.350006,82.349998,124.919998,163.360001,469.100006,25.790001,61.549999,292.170013,218.399994,432.019989,47.68,111.730003
03/02/2023,84.654953,90.442001,26.24,206.009995,108.110001,169.449997,72.980003,681.320007,231.539993,81.959999,125.550003,164.610001,459.079987,26.030001,61.240002,295.190002,220,433.579987,47.580002,111.919998
02/02/2023,86.074142,92.837822,26.52,209.339996,111.300003,169.009995,74.540001,690.320007,231.410004,83.940002,125.400002,165.539993,457.190002,26.190001,62.470001,292.950012,220,434.029999,47.23,111.150002
01/02/2023,86.629906,92.936005,26.799999,214.75,117.699997,171.360001,74.139999,682.679993,230.449997,82.32,125.160004,164.919998,462.25,26.780001,63.5,290.529999,223.960007,429.670013,47.330002,114.739998
31/01/2023,86.213081,92.258499,27.41,213,121.870003,174.020004,73.949997,665.950012,233.059998,80.480003,123.550003,163.419998,463.26001,27.469999,64.790001,287.320007,230.350006,424.26001,46.869999,116.010002
30/01/2023,86.252785,91.18824,26.450001,209.669998,120.529999,174.199997,72.650002,644.280029,228.070007,80.830002,121,162,460.589996,27.09,64.129997,286.200012,229.830002,418.859985,46.290001,113.559998
27/01/2023,86.520737,91.384613,26.969999,211.169998,123.610001,179.449997,73.550003,660.25,227.490005,83.230003,121.910004,168.229996,459.600006,28.309999,66.540001,285.5,234.389999,422.320007,46.119999,115.610001
26/01/2023,86.788689,91.306061,27.620001,212.729996,124.650002,187.789993,73.730003,646.049988,228.110001,81.139999,122.720001,168.889999,459.809998,28.76,67.089996,286.130005,237,426.619995,45.810001,117.760002
25/01/2023,86.232925,90.67765,27.01,212.679993,120.370003,179.080002,73.529999,642.830017,226.880005,80.790001,121.900002,169.509995,454.160004,27.860001,64.519997,289.700012,236.220001,429.5,45.34,113.209999
24/01/2023,85.816109,91.021309,26.99,211.979996,118.809998,180.830002,74.940002,640.219971,235.449997,80.699997,121.349998,168.309998,449.230011,27.85,64.43,291.679993,237.740005,410.320007,44.450001,113.809998
23/01/2023,85.329811,90.982048,26.91,209.970001,120.129997,180.660004,75.300003,649.950012,232.449997,79.769997,120.709999,168.309998,441.279999,28.1,66.5,294.820007,241.449997,407.779999,45.029999,112.760002
20/01/2023,86.024521,90.500908,26.93,206.759995,121.800003,180.899994,73.970001,649.179993,232.789993,77.68,120.059998,168.740005,443.279999,27.879999,66.910004,294.309998,239.399994,404.230011,43.919998,113.349998
19/01/2023,85.389359,89.970688,26.639999,207.089996,119.639999,179,72.800003,623.859985,231.550003,76.860001,118.650002,169.529999,439.309998,27.389999,65.669998,292.380005,238.380005,400.829987,42.950001,111.32
18/01/2023,86.024521,90.775833,26.92,209.410004,118.550003,177.229996,73.18,629.969971,237,79.269997,121.989998,169.759995,441.269989,26.879999,64.419998,289.160004,233.970001,405.730011,43.380001,110.610001
17/01/2023,88.565155,93.142197,27.6,211.410004,120.239998,180.490005,74.330002,627.880005,241.139999,80.489998,124.449997,172.360001,447.160004,26.799999,64.720001,298.920013,237.899994,415.970001,44.119999,112.93
13/01/2023,89.468277,93.122559,27.860001,214.130005,121.470001,177.559998,75.199997,617.919983,240.289993,80.199997,126.010002,173.429993,449.829987,27.08,65.309998,305.890015,238.990005,416.130005,44.220001,113.150002
12/01/2023,89.071304,94.664139,27.690001,214.320007,120.160004,177.080002,74.75,605.580017,247.699997,78.860001,127.82,174,461.73999,27.379999,65.739998,306.279999,239.179993,416.130005,42.830002,113.220001
11/01/2023,89.934723,95.862038,27.73,208.029999,118.239998,175.199997,74.900002,598.969971,248.690002,77.690002,128,174.880005,463,27.049999,64.089996,303.940002,231.600006,410.980011,42.740002,111.370003
10/01/2023,88.446068,95.518379,27.23,206.690002,118.080002,176.039993,73.919998,585.859985,247.539993,75.269997,127.5,175.160004,462.290009,27.01,64.150002,299.059998,231.160004,409.25,42.360001,110.089996
09/01/2023,88.733879,96.176239,27.25,208.570007,117.360001,175.179993,73.480003,593.869995,245.210007,72.669998,125.779999,175.580002,458.98999,27.030001,64.080002,296.269989,230.160004,408.399994,42.389999,108.470001
06/01/2023,87.652115,94.781952,26.43,213,118.230003,176.559998,72.470001,601.940002,248.25,71.940002,128.509995,180.25,473.23999,26.6,63.75,292.309998,233.460007,408.540009,42.799999,110.529999
05/01/2023,85.349663,92.081757,25.870001,204.990005,116.769997,175.240005,70.870003,596.900024,244.619995,71.290001,123.610001,178.800003,477.070007,25.870001,62.220001,286.160004,227.130005,398.429993,42.419998,109.209999
04/01/2023,88.287277,93.790245,27.280001,203.639999,113.339996,172.139999,70.529999,609.039978,245.220001,70.199997,126.010002,180.130005,476.5,25.32,61.110001,279.720001,223.050003,408.480011,42.650002,106.82
03/01/2023,87.820831,93.152016,28.110001,195.389999,113.120003,173.990005,68.860001,591.190002,248.600006,66.338799,121.290001,178.190002,477.529999,25.639999,61.049999,286.380005,220.25,400.769989,41.790001,106.510002
30/12/2022,88.247574,93.230568,28.76,190.490005,118,179.490005,68.629997,598.580017,248.110001,65.409836,120.07,176.649994,486.48999,27.07,62.990002,294.390015,228.389999,399.910004,41.290001,110.300003
29/12/2022,89.329338,94.271378,28.809999,188.910004,116.389999,178.320007,68.580002,600.900024,249.229996,65.378609,121.129997,177.559998,487.049988,26.780001,62.279999,295.040009,226.679993,398.149994,41.330002,109.199997
28/12/2022,88.704094,93.633148,28.32,188.380005,115.309998,176.979996,67.800003,606.840027,246.970001,63.989071,119.199997,176.660004,483.220001,26.58,62.080002,290.040009,224.389999,390.690002,41.119999,108.379997
27/12/2022,89.59729,94.546303,28.82,189.399994,118.470001,179.630005,68.779999,614.299988,248.740005,64.668228,121.129997,177.429993,485.5,27.65,64.330002,292.049988,231.529999,397.029999,41.040001,110.190002
23/12/2022,88.852966,93.957169,28.68,189.059998,117.050003,177.399994,68.730003,616.76001,247.899994,63.848557,120.860001,177.479996,483.290009,27.440001,63.950001,292.089996,229.110001,393.75,40.98,108.68
22/12/2022,87.691811,92.759262,28.309999,188.25,112.900002,172.080002,67.550003,614.52002,246.589996,63.832943,119.879997,177.029999,479.299988,26.700001,61.799999,297.820007,220.149994,393.309998,40.68,105.879997
21/12/2022,87.929993,93.61351,28.74,196,116.279999,174.699997,68.32,614.200012,249.970001,64.777519,121.300003,177.679993,487.649994,27.74,63.73,301.470001,225.559998,399.660004,41.119999,108.059998
20/12/2022,86.540581,91.973747,28.360001,188.289993,112.650002,172.669998,67.510002,591.150024,246.619995,62.70882,118.220001,175.669998,486.149994,27.15,62.369999,298.540009,219.649994,392.149994,40.98,106.690002
19/12/2022,86.639832,92.297775,28.200001,185.679993,110.440002,169.880005,67.559998,585.650024,244.300003,60.936768,118.519997,175.479996,481.790009,27.030001,62.41,294.290009,218.070007,390.279999,41.82,105.169998
16/12/2022,87.066582,92.857452,28.34,184.699997,110.440002,168.720001,67.910004,590.630005,246.139999,60.616707,119.07,175.669998,481.790009,27.33,62.529999,298.98999,218.919998,396.459991,41.189999,104.699997
15/12/2022,87.523102,93.83934,28.709999,183.720001,112.550003,171.039993,67.809998,598.210022,245.139999,61.522247,119.589996,177.490005,478.790009,27.860001,63.16,299.130005,224.610001,405.209991,41.369999,105.440002
14/12/2022,89.111,96.706459,29.24,188.25,112.870003,172.330002,69.639999,606.679993,249.020004,63.598751,122.57,179.759995,485.190002,27.469999,63.68,311.850006,225.119995,421.070007,42.18,106.459999
