Date,iShares Global Clean Energy ETF (ICLN),Invesco Solar ETF (TAN),First Trust NASDAQ Clean Edge Green Energy Index Fund (QCLN),Invesco WilderHill Clean Energy ETF (PBW),Invesco MSCI Sustainable Future ETF (ERTH),First Trust Global Wind Energy ETF (FAN),VanEck Low Carbon Energy ETF (SMOG),Global X Renewable Energy Producers ETF (RNRG)
02/02/2023,20.95,81.70,58.44,48.21,53.83,18.36,125.02,13.51
01/02/2023,20.74,82.63,57.46,47.01,53.73,18.28,123.90,13.53
31/01/2023,20.16,80.80,55.97,46.05,52.65,18.07,121.41,13.38
30/01/2023,20.53,78.22,53.97,44.39,51.82,17.84,119.33,13.25
27/01/2023,20.63,80.15,55.89,46.28,52.80,18.10,121.84,13.48
26/01/2023,20.64,79.48,53.61,44.64,52.08,18.25,119.97,13.47
25/01/2023,20.81,79.20,53.13,44.96,51.42,18.25,118.35,13.54
24/01/2023,20.97,80.68,53.33,45.30,51.38,18.31,119.16,13.49
23/01/2023,20.60,81.61,53.83,45.94,51.76,18.28,119.46,13.53
20/01/2023,20.40,79.47,51.13,43.85,50.54,18.20,116.92,13.44
19/01/2023,21.11,77.96,49.74,42.58,49.86,18.19,115.84,13.44
18/01/2023,21.36,81.79,52.33,44.52,51.13,18.46,118.43,13.66
17/01/2023,21.22,82.29,52.54,44.58,51.42,18.65,119.45,13.83
13/01/2023,21.25,81.74,51.73,44.42,51.44,18.57,118.84,13.63
12/01/2023,20.94,81.68,51.68,44.09,51.40,18.67,119.35,13.75
11/01/2023,20.35,80.21,50.57,42.84,50.50,18.43,117.95,13.49
10/01/2023,20.05,77.04,48.66,41.15,49.42,18.02,114.67,13.31
09/01/2023,19.88,74.71,47.72,39.85,48.83,17.94,113.21,13.16
06/01/2023,19.38,73.87,46.61,38.68,48.46,17.83,111.78,13.15
05/01/2023,19.79,70.91,45.55,37.74,47.60,17.28,110.29,12.90
04/01/2023,19.63,73.30,46.92,38.64,48.46,17.65,112.07,13.12
03/01/2023,19.85,72.17,45.84,37.38,47.49,17.45,109.91,13.00
30/12/2022,19.87,72.94,47.19,38.33,47.78,17.32,110.86,13.12
29/12/2022,19.56,73.08,47.04,37.85,47.95,17.45,111.70,13.34
28/12/2022,19.76,71.83,45.71,36.32,47.00,17.09,108.87,13.11
27/12/2022,19.99,73.08,46.30,36.78,47.50,17.19,110.32,13.04
23/12/2022,20.10,74.86,48.44,38.44,48.11,17.05,112.54,13.18
22/12/2022,20.45,75.86,48.92,38.80,48.59,17.04,113.07,13.18
21/12/2022,20.16,78.42,50.97,40.25,49.27,17.18,116.20,13.25
20/12/2022,20.19,76.81,50.31,39.62,48.66,17.01,114.22,13.19
19/12/2022,20.41,77.40,50.77,40.07,49.06,17.08,114.98,13.21
16/12/2022,20.78,78.43,51.98,42.58,49.65,17.18,117.71,13.25
