Date ,BGF Sustainable Energy Fund,BGF US Government Mortgage Fund,BGF Nutrition Fund
02/02/2023,16.66,18.41,14.16
01/02/2023,16.80,18.47,14.22
31/01/2023,16.50,18.31,14.21
30/01/2023,16.28,18.28,14.03
27/01/2023,16.41,18.31,14.10
26/01/2023,16.43,18.33,14.12
25/01/2023,16.40,18.36,14.07
24/01/2023,16.22,18.33,13.92
23/01/2023,16.31,18.26,13.91
20/01/2023,16.26,18.27,13.92
19/01/2023,16.07,18.35,13.89
18/01/2023,16.18,18.39,13.86
17/01/2023,16.60,18.35,14.19
13/01/2023,16.52,18.25,14.12
12/01/2023,16.50,18.28,14.05
11/01/2023,16.48,18.31,14.00
10/01/2023,16.28,18.24,13.85
09/01/2023,16.20,18.13,13.93
06/01/2023,15.91,18.14,13.82
05/01/2023,15.93,18.12,13.83
04/01/2023,15.29,17.91,13.51
03/01/2023,15.21,17.89,13.41
30/12/2022,15.41,17.94,13.53
29/12/2022,15.27,17.88,13.48
28/12/2022,15.28,17.78,13.46
27/12/2022,15.20,17.83,13.43
23/12/2022,15.25,17.81,13.48
22/12/2022,15.22,17.84,13.49
21/12/2022,15.21,17.90,13.42
20/12/2022,15.14,17.95,13.35
19/12/2022,15.31,18.01,13.37
16/12/2022,15.35,18.04,13.38
15/12/2022,15.31,18.05,13.27
14/12/2022,15.43,18.17,13.32
13/12/2022,15.55,18.23,13.32
12/12/2022,15.78,18.25,13.44
09/12/2022,16.18,18.18,13.72
08/12/2022,16.27,18.19,13.83
07/12/2022,15.69,18.04,13.52
06/12/2022,15.74,18.08,13.59
05/12/2022,15.73,18.11,13.56
02/12/2022,15.69,18.05,13.53
01/12/2022,15.83,17.97,13.62
30/11/2022,15.95,18.06,13.73
29/11/2022,15.95,17.99,13.81
28/11/2022,16.20,17.94,14.06
25/11/2022,15.72,17.78,13.79
23/11/2022,15.60,17.82,13.72
22/11/2022,15.81,17.91,13.85
21/11/2022,15.98,17.87,13.94
18/11/2022,16.01,17.88,13.96
17/11/2022,15.81,17.84,13.84
16/11/2022,15.60,17.74,13.65
15/11/2022,15.57,17.74,13.53
14/11/2022,15.74,17.73,13.65
11/11/2022,15.52,17.73,13.53
10/11/2022,15.80,17.75,13.68
09/11/2022,16.03,17.66,13.72
08/11/2022,15.78,17.62,13.67
07/11/2022,15.80,17.66,13.71
04/11/2022,15.42,17.45,13.56
03/11/2022,14.80,17.20,13.34
02/11/2022,14.72,17.17,13.37
01/11/2022,14.47,17.18,13.12
31/10/2022,14.41,17.18,13.24
28/10/2022,14.09,17.19,12.94
27/10/2022,14.17,17.28,13.26
26/10/2022,14.03,17.30,13.30
25/10/2022,14.02,17.35,13.24
24/10/2022,14.04,17.27,13.33
21/10/2022,13.96,17.20,13.30
20/10/2022,13.83,17.06,13.06
19/10/2022,13.59,17.00,12.91
18/10/2022,13.23,16.92,12.72
17/10/2022,13.23,17.05,12.79
14/10/2022,13.26,17.16,12.82
13/10/2022,13.58,17.28,13.01
12/10/2022,13.27,17.27,12.80
11/10/2022,13.22,17.34,12.78
10/10/2022,12.74,17.24,12.44
07/10/2022,13.08,17.37,12.62
06/10/2022,13.03,17.38,12.53
05/10/2022,13.26,17.47,12.65
04/10/2022,13.48,17.47,12.67
03/10/2022,13.88,17.63,12.89
30/09/2022,13.86,17.64,12.91
29/09/2022,13.94,17.73,12.93
28/09/2022,13.30,17.64,12.53
27/09/2022,13.24,17.67,12.48
26/09/2022,13.23,17.68,12.33
23/09/2022,13.31,17.56,12.44
22/09/2022,13.48,17.32,12.66
21/09/2022,13.57,17.59,12.71
20/09/2022,13.60,17.74,12.78
19/09/2022,14.05,17.93,13.11
16/09/2022,14.42,17.97,13.35
15/09/2022,14.39,17.96,13.36
14/09/2022,14.46,18.02,13.40
13/09/2022,14.41,18.04,13.40
12/09/2022,14.81,18.12,13.77
09/09/2022,14.86,18.12,13.81
08/09/2022,15.10,18.19,14.05
07/09/2022,15.31,18.31,14.20
06/09/2022,15.14,18.32,14.07
02/09/2022,14.85,18.39,13.72
01/09/2022,14.60,18.33,13.70
31/08/2022,14.41,18.38,13.78
30/08/2022,14.42,18.47,13.80
29/08/2022,14.58,18.45,13.94
26/08/2022,14.49,18.46,13.86
25/08/2022,14.78,18.57,14.11
24/08/2022,14.87,18.60,14.28
23/08/2022,14.84,18.61,14.37
22/08/2022,15.38,18.71,14.73
19/08/2022,15.33,18.61,14.69
18/08/2022,15.15,18.65,14.53
17/08/2022,15.16,18.69,14.46
16/08/2022,15.21,18.77,14.50
15/08/2022,15.60,18.84,14.60
12/08/2022,15.76,18.92,14.70
11/08/2022,15.81,18.95,14.69
10/08/2022,15.92,19.00,14.69
09/08/2022,15.83,18.91,14.71
08/08/2022,15.90,18.99,14.80
05/08/2022,15.65,18.98,14.54
04/08/2022,15.42,18.90,14.41
03/08/2022,15.66,18.90,14.57
02/08/2022,15.43,18.92,14.29
01/08/2022,15.37,19.04,14.40
29/07/2022,15.09,18.95,14.44
28/07/2022,15.06,19.16,14.48
27/07/2022,15.16,19.16,14.55
26/07/2022,15.10,19.10,14.42
25/07/2022,14.79,19.05,14.22
22/07/2022,14.18,18.91,14.11
21/07/2022,14.08,18.92,14.11
20/07/2022,14.12,18.87,14.12
19/07/2022,14.23,18.85,14.16
18/07/2022,14.12,18.64,14.10
15/07/2022,13.96,18.68,14.04
14/07/2022,13.76,18.70,13.93
13/07/2022,13.65,18.68,13.88
12/07/2022,13.26,18.62,13.59
11/07/2022,13.14,18.60,13.42
08/07/2022,13.31,18.55,13.65
07/07/2022,13.50,18.62,13.79
06/07/2022,13.56,18.57,13.91
05/07/2022,13.60,18.55,13.96
01/07/2022,13.64,18.60,14.04
30/06/2022,13.37,18.74,13.84
29/06/2022,13.21,18.69,13.85
28/06/2022,13.55,18.67,14.10
27/06/2022,13.56,18.63,13.99
24/06/2022,13.37,18.51,13.83
23/06/2022,13.74,18.34,13.99
22/06/2022,14.26,18.31,14.28
21/06/2022,14.11,18.35,14.21
