 AAPL , AAPL-MSE , MSFT , MSFT-MSE , AMZN , AMZN-MSE , GOOGL , GOOGL-MSE , BRK-B , BRK.B-MSE , TSLA , TSLA-MSE , NVDA , NVDA-MSE , GOOG , GOOG-MSE , UNH , UNH-MSE , JPM , JPM-MSE , AVGO , AVGO-MSE , V , V-MSE , BAC , BAC-MSE , HD , HD-MSE , MA , MA-MSE , MRK , MRK-MSE , ABBV , ABBV-MSE , LLY , LLY-MSE , UPS , UPS-MSE , CAT , CAT-MSE 
AAPL_1t_L4_U128_U128_U128_U128_B16_D02,0.070047818,MSFT_1t_L4_U128_U128_U128_U128_B16_D02,0.038547944,AMZN_1t_L4_U128_U128_U128_U128_B16_D02,0.044109572,GOOGL_1t_L4_U128_U128_U128_U128_B16_D02,0.062869251,BRK-B_1t_L4_U128_U128_U128_U128_B16_D02,0.050319195,TSLA_1t_L4_U128_U128_U128_U128_B16_D02,0.999431193,NVDA_1t_L4_U128_U128_U128_U128_B16_D02,0.036839109,GOOG_1t_L4_U128_U128_U128_U128_B16_D02,0.033391453,UNH_1t_L4_U128_U128_U128_U128_B16_D02,0.079547495,JPM_1t_L4_U128_U128_U128_U128_B16_D02,0.030772945,AVGO_1t_L4_U128_U128_U128_U128_B16_D02,0.039992005,V_1t_L4_U128_U128_U128_U128_B16_D02,0.019201344,BAC_1t_L4_U128_U128_U128_U128_B16_D02,0.031551659,HD_1t_L4_U128_U128_U128_U128_B16_D02,0.039992005,MA_1t_L4_U128_U128_U128_U128_B16_D02,0.075210735,MRK_1t_L4_U128_U128_U128_U128_B16_D02,0.014673947,ABBV_1t_L4_U128_U128_U128_U128_B16_D02,0.166549057,LLY_1t_L4_U128_U128_U128_U128_B16_D02,0.037095323,UPS_1t_L4_U128_U128_U128_U128_B16_D02,0.038217928,CAT_1t_L4_U128_U128_U128_U128_B16_D02,0.036626212
AAPL_1t_L4_U128_U128_U128_U64_B16_D02,0.055605825,MSFT_1t_L4_U128_U128_U128_U64_B16_D02,0.021029161,AMZN_1t_L4_U128_U128_U128_U64_B16_D02,0.038699444,GOOGL_1t_L4_U128_U128_U128_U64_B16_D02,0.056930494,BRK-B_1t_L4_U128_U128_U128_U64_B16_D02,0.999418855,TSLA_1t_L4_U128_U128_U128_U64_B16_D02,0.018540241,NVDA_1t_L4_U128_U128_U128_U64_B16_D02,0.065446198,GOOG_1t_L4_U128_U128_U128_U64_B16_D02,0.037618089,UNH_1t_L4_U128_U128_U128_U64_B16_D02,0.069179997,JPM_1t_L4_U128_U128_U128_U64_B16_D02,0.019987522,AVGO_1t_L4_U128_U128_U128_U64_B16_D02,0.040214844,V_1t_L4_U128_U128_U128_U64_B16_D02,0.023204774,BAC_1t_L4_U128_U128_U128_U64_B16_D02,0.013560195,HD_1t_L4_U128_U128_U128_U64_B16_D02,0.040214844,MA_1t_L4_U128_U128_U128_U64_B16_D02,0.046677481,MRK_1t_L4_U128_U128_U128_U64_B16_D02,0.040098295,ABBV_1t_L4_U128_U128_U128_U64_B16_D02,0.138441488,LLY_1t_L4_U128_U128_U128_U64_B16_D02,0.054928184,UPS_1t_L4_U128_U128_U128_U64_B16_D02,0.028091125,CAT_1t_L4_U128_U128_U128_U64_B16_D02,0.021614244
AAPL_1t_L4_U128_U128_U64_U64_B16_D02,0.026589913,MSFT_1t_L4_U128_U128_U64_U64_B16_D02,0.049748484,AMZN_1t_L4_U128_U128_U64_U64_B16_D02,0.04767726,GOOGL_1t_L4_U128_U128_U64_U64_B16_D02,0.032161202,BRK-B_1t_L4_U128_U128_U64_U64_B16_D02,0.031714365,TSLA_1t_L4_U128_U128_U64_U64_B16_D02,0.040207673,NVDA_1t_L4_U128_U128_U64_U64_B16_D02,0.027908601,GOOG_1t_L4_U128_U128_U64_U64_B16_D02,0.038773123,UNH_1t_L4_U128_U128_U64_U64_B16_D02,0.039691847,JPM_1t_L4_U128_U128_U64_U64_B16_D02,0.075542852,AVGO_1t_L4_U128_U128_U64_U64_B16_D02,0.022133674,V_1t_L4_U128_U128_U64_U64_B16_D02,0.051233623,BAC_1t_L4_U128_U128_U64_U64_B16_D02,0.050319195,HD_1t_L4_U128_U128_U64_U64_B16_D02,0.022133674,MA_1t_L4_U128_U128_U64_U64_B16_D02,0.04748825,MRK_1t_L4_U128_U128_U64_U64_B16_D02,0.032742672,ABBV_1t_L4_U128_U128_U64_U64_B16_D02,0.039590124,LLY_1t_L4_U128_U128_U64_U64_B16_D02,0.057238173,UPS_1t_L4_U128_U128_U64_U64_B16_D02,0.042318467,CAT_1t_L4_U128_U128_U64_U64_B16_D02,0.048619363
AAPL_1t_L4_U128_U64_U64_U64_B16_D02,0.999419987,MSFT_1t_L4_U128_U64_U64_U64_B16_D02,0.999398172,AMZN_1t_L4_U128_U64_U64_U64_B16_D02,0.99945122,GOOGL_1t_L4_U128_U64_U64_U64_B16_D02,0.999431074,BRK-B_1t_L4_U128_U64_U64_U64_B16_D02,0.019051123,TSLA_1t_L4_U128_U64_U64_U64_B16_D02,0.999451041,NVDA_1t_L4_U128_U64_U64_U64_B16_D02,0.999432564,GOOG_1t_L4_U128_U64_U64_U64_B16_D02,0.999435067,UNH_1t_L4_U128_U64_U64_U64_B16_D02,0.999433696,JPM_1t_L4_U128_U64_U64_U64_B16_D02,0.999445915,AVGO_1t_L4_U128_U64_U64_U64_B16_D02,0.999430299,V_1t_L4_U128_U64_U64_U64_B16_D02,0.999408424,BAC_1t_L4_U128_U64_U64_U64_B16_D02,0.999418855,HD_1t_L4_U128_U64_U64_U64_B16_D02,0.999430299,MA_1t_L4_U128_U64_U64_U64_B16_D02,0.999431431,MRK_1t_L4_U128_U64_U64_U64_B16_D02,0.999408185,ABBV_1t_L4_U128_U64_U64_U64_B16_D02,0.999446154,LLY_1t_L4_U128_U64_U64_U64_B16_D02,0.99941802,UPS_1t_L4_U128_U64_U64_U64_B16_D02,0.999417067,CAT_1t_L4_U128_U64_U64_U64_B16_D02,0.999428153
AAPL_1t_L4_U128_U64_U64_U32_B16_D02,0.032592494,MSFT_1t_L4_U128_U64_U64_U32_B16_D02,0.017827492,AMZN_1t_L4_U128_U64_U64_U32_B16_D02,0.054757342,GOOGL_1t_L4_U128_U64_U64_U32_B16_D02,0.036196224,BRK-B_1t_L4_U128_U64_U64_U32_B16_D02,0.026151156,TSLA_1t_L4_U128_U64_U64_U32_B16_D02,0.040733788,NVDA_1t_L4_U128_U64_U64_U32_B16_D02,0.053633813,GOOG_1t_L4_U128_U64_U64_U32_B16_D02,0.044951577,UNH_1t_L4_U128_U64_U64_U32_B16_D02,0.037750605,JPM_1t_L4_U128_U64_U64_U32_B16_D02,0.015830847,AVGO_1t_L4_U128_U64_U64_U32_B16_D02,0.018048184,V_1t_L4_U128_U64_U64_U32_B16_D02,0.03026115,BAC_1t_L4_U128_U64_U64_U32_B16_D02,0.031714365,HD_1t_L4_U128_U64_U64_U32_B16_D02,0.018048184,MA_1t_L4_U128_U64_U64_U32_B16_D02,0.046539344,MRK_1t_L4_U128_U64_U64_U32_B16_D02,0.026790092,ABBV_1t_L4_U128_U64_U64_U32_B16_D02,0.023385627,LLY_1t_L4_U128_U64_U64_U32_B16_D02,0.032272112,UPS_1t_L4_U128_U64_U64_U32_B16_D02,0.01886587,CAT_1t_L4_U128_U64_U64_U32_B16_D02,0.043088097
AAPL_1t_L4_U64_U64_U64_U64_B16_D02,0.035344783,MSFT_1t_L4_U64_U64_U64_U64_B16_D02,0.02740339,AMZN_1t_L4_U64_U64_U64_U64_B16_D02,0.044784591,GOOGL_1t_L4_U64_U64_U64_U64_B16_D02,0.030400096,BRK-B_1t_L4_U64_U64_U64_U64_B16_D02,0.072225749,TSLA_1t_L4_U64_U64_U64_U64_B16_D02,0.999431193,NVDA_1t_L4_U64_U64_U64_U64_B16_D02,0.999792099,GOOG_1t_L4_U64_U64_U64_U64_B16_D02,0.070299923,UNH_1t_L4_U64_U64_U64_U64_B16_D02,0.051064271,JPM_1t_L4_U64_U64_U64_U64_B16_D02,0.014548308,AVGO_1t_L4_U64_U64_U64_U64_B16_D02,0.050340977,V_1t_L4_U64_U64_U64_U64_B16_D02,0.023982836,BAC_1t_L4_U64_U64_U64_U64_B16_D02,0.019051123,HD_1t_L4_U64_U64_U64_U64_B16_D02,0.050340977,MA_1t_L4_U64_U64_U64_U64_B16_D02,0.046408802,MRK_1t_L4_U64_U64_U64_U64_B16_D02,0.038997147,ABBV_1t_L4_U64_U64_U64_U64_B16_D02,0.029312599,LLY_1t_L4_U64_U64_U64_U64_B16_D02,0.013671494,UPS_1t_L4_U64_U64_U64_U64_B16_D02,0.031068023,CAT_1t_L4_U64_U64_U64_U64_B16_D02,0.021047235
AAPL_1t_L4_U64_U64_U64_U32_B16_D02,0.073228016,MSFT_1t_L4_U64_U64_U64_U32_B16_D02,0.023474833,AMZN_1t_L4_U64_U64_U64_U32_B16_D02,0.022787604,GOOGL_1t_L4_U64_U64_U64_U32_B16_D02,0.031714041,BRK-B_1t_L4_U64_U64_U64_U32_B16_D02,0.999407113,TSLA_1t_L4_U64_U64_U64_U32_B16_D02,0.999431193,NVDA_1t_L4_U64_U64_U64_U32_B16_D02,0.047555782,GOOG_1t_L4_U64_U64_U64_U32_B16_D02,0.045230359,UNH_1t_L4_U64_U64_U64_U32_B16_D02,0.041404441,JPM_1t_L4_U64_U64_U64_U32_B16_D02,0.016345058,AVGO_1t_L4_U64_U64_U64_U32_B16_D02,0.025291078,V_1t_L4_U64_U64_U64_U32_B16_D02,0.010973684,BAC_1t_L4_U64_U64_U64_U32_B16_D02,0.026151156,HD_1t_L4_U64_U64_U64_U32_B16_D02,0.025291078,MA_1t_L4_U64_U64_U64_U32_B16_D02,0.077170581,MRK_1t_L4_U64_U64_U64_U32_B16_D02,0.061113175,ABBV_1t_L4_U64_U64_U64_U32_B16_D02,0.089892574,LLY_1t_L4_U64_U64_U64_U32_B16_D02,0.075839989,UPS_1t_L4_U64_U64_U64_U32_B16_D02,0.022597436,CAT_1t_L4_U64_U64_U64_U32_B16_D02,0.016299566
AAPL_1t_L4_U64_U64_U32_U32_B16_D02,0.053983249,MSFT_1t_L4_U64_U64_U32_U32_B16_D02,0.018418081,AMZN_1t_L4_U64_U64_U32_U32_B16_D02,0.037227027,GOOGL_1t_L4_U64_U64_U32_U32_B16_D02,0.041613013,BRK-B_1t_L4_U64_U64_U32_U32_B16_D02,0.023535307,TSLA_1t_L4_U64_U64_U32_U32_B16_D02,0.037605401,NVDA_1t_L4_U64_U64_U32_U32_B16_D02,0.076685101,GOOG_1t_L4_U64_U64_U32_U32_B16_D02,0.037460428,UNH_1t_L4_U64_U64_U32_U32_B16_D02,0.053101521,JPM_1t_L4_U64_U64_U32_U32_B16_D02,0.033221446,AVGO_1t_L4_U64_U64_U32_U32_B16_D02,0.024184262,V_1t_L4_U64_U64_U32_U32_B16_D02,0.02758993,BAC_1t_L4_U64_U64_U32_U32_B16_D02,0.072225749,HD_1t_L4_U64_U64_U32_U32_B16_D02,0.024184262,MA_1t_L4_U64_U64_U32_U32_B16_D02,0.044845082,MRK_1t_L4_U64_U64_U32_U32_B16_D02,0.045198109,ABBV_1t_L4_U64_U64_U32_U32_B16_D02,0.011790026,LLY_1t_L4_U64_U64_U32_U32_B16_D02,0.05801538,UPS_1t_L4_U64_U64_U32_U32_B16_D02,0.023799658,CAT_1t_L4_U64_U64_U32_U32_B16_D02,0.015741371
AAPL_1t_L4_U64_U32_U32_U32_B16_D02,0.999419451,MSFT_1t_L4_U64_U32_U32_U32_B16_D02,0.999406219,AMZN_1t_L4_U64_U32_U32_U32_B16_D02,0.999409676,GOOGL_1t_L4_U64_U32_U32_U32_B16_D02,0.999466062,BRK-B_1t_L4_U64_U32_U32_U32_B16_D02,0.023462787,TSLA_1t_L4_U64_U32_U32_U32_B16_D02,0.999406695,NVDA_1t_L4_U64_U32_U32_U32_B16_D02,0.999466956,GOOG_1t_L4_U64_U32_U32_U32_B16_D02,0.999438822,UNH_1t_L4_U64_U32_U32_U32_B16_D02,0.999429703,JPM_1t_L4_U64_U32_U32_U32_B16_D02,0.999440908,AVGO_1t_L4_U64_U32_U32_U32_B16_D02,0.999516785,V_1t_L4_U64_U32_U32_U32_B16_D02,0.999449015,BAC_1t_L4_U64_U32_U32_U32_B16_D02,0.999407113,HD_1t_L4_U64_U32_U32_U32_B16_D02,0.999516785,MA_1t_L4_U64_U32_U32_U32_B16_D02,0.99942863,MRK_1t_L4_U64_U32_U32_U32_B16_D02,0.999429405,ABBV_1t_L4_U64_U32_U32_U32_B16_D02,0.999342442,LLY_1t_L4_U64_U32_U32_U32_B16_D02,0.999464333,UPS_1t_L4_U64_U32_U32_U32_B16_D02,0.999396026,CAT_1t_L4_U64_U32_U32_U32_B16_D02,0.999397874
AAPL_1t_L4_U64_U32_U32_U16_B16_D02,0.047706574,MSFT_1t_L4_U64_U32_U32_U16_B16_D02,0.017675476,AMZN_1t_L4_U64_U32_U32_U16_B16_D02,0.070604995,GOOGL_1t_L4_U64_U32_U32_U16_B16_D02,0.047169577,BRK-B_1t_L4_U64_U32_U32_U16_B16_D02,0.039245613,TSLA_1t_L4_U64_U32_U32_U16_B16_D02,0.030951554,NVDA_1t_L4_U64_U32_U32_U16_B16_D02,0.999791861,GOOG_1t_L4_U64_U32_U32_U16_B16_D02,0.033310343,UNH_1t_L4_U64_U32_U32_U16_B16_D02,0.055590019,JPM_1t_L4_U64_U32_U32_U16_B16_D02,0.018386608,AVGO_1t_L4_U64_U32_U32_U16_B16_D02,0.047487099,V_1t_L4_U64_U32_U32_U16_B16_D02,0.017707504,BAC_1t_L4_U64_U32_U32_U16_B16_D02,0.023535307,HD_1t_L4_U64_U32_U32_U16_B16_D02,0.047487099,MA_1t_L4_U64_U32_U32_U16_B16_D02,0.059209127,MRK_1t_L4_U64_U32_U32_U16_B16_D02,0.038984474,ABBV_1t_L4_U64_U32_U32_U16_B16_D02,0.070495754,LLY_1t_L4_U64_U32_U32_U16_B16_D02,0.061340105,UPS_1t_L4_U64_U32_U32_U16_B16_D02,0.0480147,CAT_1t_L4_U64_U32_U32_U16_B16_D02,0.05596472
