Date,AAPL,MSFT,AMZN,GOOGL,BRK-B,TSLA,NVDA,GOOG,UNH,JPM,AVGO,V,BAC,HD,MA,MRK,ABBV,LLY,UPS,CAT
02/01/2020,0.20,-0.10,-0.10,0.03,0.19,-0.10,-0.10,-0.10,-0.10,0.20,0.20,0.20,-0.10,0.20,0.14,0.08,0.17,0.00,0.18,-0.10
03/01/2020,0.20,-0.10,0.20,-0.10,-0.10,-0.10,-0.08,-0.04,0.20,-0.07,0.20,-0.05,0.20,0.20,0.15,0.20,0.08,0.17,-0.10,-0.06
06/01/2020,0.20,0.20,-0.10,-0.10,0.10,0.02,0.20,-0.10,-0.07,-0.09,-0.10,-0.10,0.20,0.20,0.18,-0.03,0.13,0.20,-0.10,0.16
07/01/2020,-0.08,0.20,0.15,0.06,0.20,-0.01,-0.10,-0.10,-0.10,0.20,0.20,0.20,-0.01,0.20,-0.10,-0.03,0.13,0.20,-0.10,-0.10
08/01/2020,-0.10,-0.10,0.04,-0.10,0.10,-0.10,0.10,-0.10,0.20,0.20,0.01,0.20,-0.10,0.20,0.19,0.20,-0.09,0.20,0.15,-0.10
09/01/2020,0.20,-0.10,0.14,-0.10,-0.10,-0.10,0.20,-0.10,0.18,0.20,0.16,-0.10,-0.07,0.20,-0.10,0.20,0.20,0.15,0.04,-0.10
10/01/2020,0.20,0.20,-0.10,-0.03,0.11,0.10,-0.09,-0.10,0.10,0.19,0.20,-0.10,0.20,0.20,-0.09,-0.10,0.10,-0.10,-0.10,0.20
13/01/2020,0.13,0.20,0.02,-0.10,0.20,0.08,0.18,-0.10,0.20,0.20,-0.03,-0.10,-0.10,0.20,-0.10,0.20,-0.03,0.15,-0.10,-0.10
14/01/2020,0.20,-0.10,0.20,-0.10,0.20,-0.02,0.15,-0.10,-0.03,0.20,0.11,-0.10,-0.10,0.20,-0.10,0.13,-0.01,0.20,-0.10,0.18
15/01/2020,-0.05,-0.10,0.16,0.03,0.11,0.03,-0.06,-0.10,-0.05,0.20,0.20,-0.10,-0.10,0.20,0.12,-0.10,0.02,0.20,0.20,0.19
16/01/2020,-0.10,0.20,-0.06,-0.10,-0.10,-0.02,0.20,-0.10,0.20,0.19,0.05,-0.10,0.04,0.20,-0.10,0.20,0.02,0.20,0.20,-0.02
17/01/2020,0.20,0.20,0.20,-0.10,-0.08,-0.02,-0.05,-0.10,0.20,0.20,0.20,-0.10,0.20,0.20,-0.10,0.02,-0.08,0.20,-0.10,-0.09
21/01/2020,0.20,-0.10,-0.08,0.02,0.20,0.02,-0.04,0.20,0.00,0.20,0.20,-0.10,-0.10,0.20,-0.10,0.20,0.00,0.19,-0.01,-0.10
22/01/2020,0.18,-0.10,0.13,-0.10,0.09,-0.02,0.10,-0.10,0.20,0.20,0.11,-0.10,-0.10,0.20,-0.10,0.20,-0.10,0.12,0.20,-0.01
23/01/2020,0.20,0.20,0.20,-0.10,-0.10,0.02,-0.04,-0.10,0.02,0.20,-0.10,-0.10,0.16,0.20,-0.10,0.12,0.04,0.20,0.20,-0.10
24/01/2020,-0.08,0.20,0.20,-0.10,-0.10,0.00,-0.10,-0.10,-0.08,0.20,0.05,0.17,-0.10,0.20,-0.10,0.20,-0.01,0.20,0.20,0.14
27/01/2020,-0.10,0.03,-0.10,-0.10,0.20,-0.04,0.16,-0.10,0.20,0.04,0.09,0.20,-0.03,0.17,-0.10,0.20,0.16,0.20,0.00,-0.09
28/01/2020,-0.10,-0.10,0.06,-0.10,0.20,-0.02,-0.06,0.08,0.01,0.20,0.20,0.20,-0.10,0.20,0.20,0.20,-0.09,0.20,-0.08,-0.10
29/01/2020,0.20,-0.10,-0.10,0.20,-0.10,-0.02,-0.10,0.19,-0.04,0.20,0.10,0.20,-0.10,0.20,-0.01,0.20,0.08,-0.10,0.20,-0.10
30/01/2020,0.20,0.20,0.05,-0.10,-0.10,-0.02,-0.10,-0.10,0.20,0.20,0.11,-0.10,-0.10,0.16,0.06,-0.10,0.20,0.20,0.20,-0.06
31/01/2020,0.12,-0.10,-0.03,-0.10,0.20,0.10,0.08,-0.10,0.20,-0.10,0.09,-0.10,0.20,0.20,-0.10,0.01,0.20,0.20,-0.10,0.13
03/02/2020,-0.10,0.20,-0.05,0.20,0.18,0.15,-0.03,0.20,0.12,0.20,0.01,-0.03,-0.10,-0.04,0.20,0.20,-0.07,-0.03,-0.10,-0.10
04/02/2020,-0.10,0.20,0.15,-0.10,-0.08,0.18,-0.10,-0.10,0.12,0.20,0.20,-0.10,0.01,-0.04,0.20,0.20,-0.02,-0.02,0.20,0.01
