Portefølje vægte,AAPL,MSFT,AMZN,GOOGL,BRK-B,TSLA,NVDA,GOOG,UNH,JPM,AVGO,V,BAC,HD,MA,MRK,ABBV,LLY,UPS,CAT
02/01/2020,-10%,20%,13%,0%,20%,9%,-4%,20%,-10%,20%,19%,0%,-9%,-10%,20%,20%,-9%,-2%,-10%,3%
03/01/2020,12%,-10%,-10%,17%,20%,20%,-10%,20%,10%,-10%,-10%,2%,-10%,20%,-1%,20%,-10%,20%,20%,-10%
06/01/2020,11%,-10%,20%,20%,20%,10%,-6%,20%,19%,-5%,-10%,-10%,-10%,20%,-10%,20%,8%,13%,-10%,-10%
07/01/2020,-10%,-10%,20%,-10%,20%,20%,20%,20%,19%,-10%,-4%,20%,-10%,14%,-9%,-10%,-10%,20%,20%,-10%
08/01/2020,19%,20%,-10%,-10%,-10%,17%,-10%,-6%,20%,20%,-10%,20%,-1%,20%,13%,-10%,-1%,20%,5%,-5%
09/01/2020,20%,20%,-10%,-7%,20%,-10%,0%,20%,-10%,13%,-10%,-10%,-10%,20%,20%,20%,1%,20%,2%,-10%
10/01/2020,20%,-10%,-10%,20%,-10%,-4%,8%,20%,20%,-10%,-10%,20%,-4%,20%,20%,20%,-10%,20%,-10%,-10%
13/01/2020,20%,19%,-10%,6%,20%,20%,9%,-10%,-10%,20%,-10%,-10%,-3%,-10%,20%,10%,-10%,20%,20%,-10%
14/01/2020,-10%,-10%,-10%,-10%,-10%,12%,-10%,2%,20%,20%,20%,20%,18%,13%,-10%,20%,-9%,20%,20%,-7%
15/01/2020,-10%,9%,-10%,-2%,20%,-10%,-10%,20%,20%,-10%,-10%,20%,-10%,20%,20%,20%,7%,5%,20%,-10%
16/01/2020,13%,20%,-10%,-10%,19%,-10%,-3%,14%,20%,-4%,12%,-10%,-10%,20%,20%,-10%,-10%,16%,7%,17%
17/01/2020,19%,-8%,-10%,20%,20%,-7%,-10%,20%,-10%,20%,9%,20%,-10%,20%,20%,17%,-10%,-10%,0%,-10%
21/01/2020,-10%,-5%,17%,-10%,-10%,20%,-7%,20%,20%,20%,14%,20%,-10%,20%,-3%,20%,-6%,0%,0%,-10%
22/01/2020,-10%,-10%,-10%,-10%,20%,20%,20%,20%,20%,-10%,20%,-10%,20%,20%,20%,-10%,-10%,20%,-10%,-10%
23/01/2020,-10%,20%,1%,-10%,20%,2%,-2%,15%,14%,20%,20%,-10%,-10%,20%,20%,3%,-10%,11%,-3%,-10%
24/01/2020,20%,20%,2%,-9%,20%,2%,-5%,-10%,-10%,-10%,20%,20%,-10%,20%,20%,-10%,-10%,20%,20%,-10%
27/01/2020,-10%,5%,20%,-10%,12%,13%,-10%,-10%,-10%,20%,-10%,20%,-10%,20%,-10%,20%,20%,20%,20%,-10%
